epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.2973,1.41212,1.66543,1.10751,0.75359,0.63376,0.68878,0.4408,1.17375,0.96481,1.01309,0.000369313,0.000369313,0.000369313
2,141.792,1.27918,1.03564,1.04619,0.71573,0.63983,0.6995,0.44683,1.15494,0.88602,1.01225,0.000703034,0.000703034,0.000703034
3,208.592,1.2568,0.93592,1.03494,0.78725,0.67145,0.75183,0.49073,1.13508,0.82128,1.00069,0.00100009,0.00100009,0.00100009
4,275.369,1.21639,0.86842,1.02479,0.80699,0.7191,0.78418,0.51822,1.13658,0.78443,1.00443,0.000946016,0.000946016,0.000946016
5,343.068,1.20253,0.82744,1.01716,0.80941,0.73075,0.81059,0.54551,1.06861,0.71432,0.97826,0.000891022,0.000891022,0.000891022
6,410.116,1.17775,0.78732,1.00695,0.81852,0.73814,0.8236,0.55721,1.06771,0.69515,0.97569,0.000836027,0.000836027,0.000836027
7,476.56,1.15049,0.75274,0.99779,0.80274,0.76589,0.82789,0.56261,1.06043,0.67774,0.97299,0.000781033,0.000781033,0.000781033
8,543.75,1.13313,0.73116,0.99189,0.8279,0.76986,0.83391,0.57208,1.04439,0.66834,0.96964,0.000726038,0.000726038,0.000726038
9,610.309,1.12116,0.71675,0.98627,0.85526,0.76102,0.84856,0.59048,1.03028,0.64204,0.9628,0.000671044,0.000671044,0.000671044
10,676.013,1.10962,0.69831,0.98301,0.81637,0.79832,0.85968,0.59974,1.02528,0.62912,0.96529,0.000616049,0.000616049,0.000616049
11,740.866,1.0743,0.65462,0.97833,0.85895,0.80193,0.87231,0.6135,1.00427,0.60298,0.94947,0.000561055,0.000561055,0.000561055
12,804.71,1.04589,0.62837,0.96564,0.84493,0.81815,0.87672,0.6086,0.99943,0.6055,0.95299,0.00050606,0.00050606,0.00050606
13,868.293,1.02841,0.6106,0.95841,0.87049,0.82153,0.88636,0.63012,0.98529,0.58635,0.94399,0.000451066,0.000451066,0.000451066
14,931.854,1.00904,0.59281,0.95159,0.86448,0.81449,0.88542,0.63547,0.97373,0.58603,0.93711,0.000396071,0.000396071,0.000396071
15,995.491,0.99331,0.57846,0.944,0.87251,0.82795,0.894,0.64434,0.96435,0.56396,0.93668,0.000341077,0.000341077,0.000341077
16,1059.11,0.97302,0.5653,0.94085,0.89925,0.82247,0.89768,0.64784,0.95857,0.55778,0.93446,0.000286083,0.000286083,0.000286083
17,1123.68,0.95703,0.54915,0.93446,0.8839,0.83734,0.90164,0.65733,0.9432,0.54944,0.92974,0.000231088,0.000231088,0.000231088
18,1187.59,0.94213,0.53872,0.92603,0.89546,0.84399,0.9066,0.66671,0.93203,0.5435,0.92827,0.000176094,0.000176094,0.000176094
19,1251.42,0.9237,0.52708,0.92162,0.90014,0.83677,0.9053,0.66595,0.92172,0.53557,0.92263,0.000121099,0.000121099,0.000121099
20,1314.91,0.91434,0.51652,0.91956,0.9079,0.8404,0.91189,0.67286,0.9168,0.53251,0.92105,6.61045e-05,6.61045e-05,6.61045e-05
