image,vehicle_count,traffic_level
screenshot_3576_jpg.rf.677ee49aacd9da749aeba086b5506f71.jpg,32,High
35 (143).jpg,2,Low
37 (24).jpg,4,Low
screenshot_14324_jpg.rf.e0e997784af6427e20d0136c75ff1b5a.jpg,10,Moderate
35 (113).jpg,1,Low
aguanambi-2105_png_jpg.rf.913b43f78d50d1ac51dcf3e43cc7da2b.jpg,19,High
image41_png_jpg.rf.0491e6f32304a84ab6c549ba311b268a.jpg,19,High
35 (103).jpg,0,Low
image93_png_jpg.rf.db0e6e038d0f47fd708e5aca86dc3457.jpg,6,Low
duque_de_caxias-1605_png_jpg.rf.9ff453450e848625deb012bce5172451.jpg,16,High
ant_sales-10965_png_jpg.rf.bc89fbd399c8f3239dc7735f9bbca90c.jpg,5,Low
36 (10).jpg,1,Low
image19_png_jpg.rf.198d9940a9c989685302cc7ef957f20f.jpg,23,High
image01_png_jpg.rf.439f3323af6b81619c993de762d69825.jpg,11,Moderate
35 (34).jpg,0,Low
screenshot_450_jpg.rf.661aa35ea660b7598f9b6ea7c26c93bc.jpg,14,Moderate
35 (121).jpg,4,Low
35 (60).jpg,7,Low
aguanambi-4850_png_jpg.rf.465a57fdb61c7b46531176ad00381431.jpg,18,High
image65_png_jpg.rf.4b59ec23626f2dc537b33c0e021070f3.jpg,4,Low
screenshot_1639_jpg.rf.c81c55b50182804ce1aae0d254881e42.jpg,21,High
aguanambi-4980_png_jpg.rf.12a1415ecb01eb7dc9e3045f0ff5a669.jpg,21,High
40 (712).jpg,1,Low
screenshot_12524_jpg.rf.a0007d904098f23ee626c345105ebd30.jpg,1,Low
37 (32).jpg,0,Low
35 (9).jpg,0,Low
35 (141).jpg,2,Low
35 (40).jpg,0,Low
40 (21).jpg,1,Low
ant_sales-1840_png_jpg.rf.fa532123d73379d06cf136371e5f2a70.jpg,4,Low
35 (111).jpg,1,Low
ant_sales-12120_png_jpg.rf.3a951040438d33746bfafa0721a88e28.jpg,6,Low
38 (1).jpg,1,Low
37 (4).jpg,2,Low
aguanambi-3415_png_jpg.rf.27d07c6cc10c50b17db86bb3cf862508.jpg,28,High
screenshot_38159_jpg.rf.1ed1c7b8245c077884b38e6dc316ddd9.jpg,5,Low
duque_de_caxias-2180_png_jpg.rf.98cec5b97edb21562b08cb0f7754bb9c.jpg,15,Moderate
37 (14).jpg,0,Low
35 (32).jpg,1,Low
40 (4).jpg,5,Low
duque_de_caxias-1140_png_jpg.rf.548bee19233d1dc5b1d099ce20ac6487.jpg,22,High
35 (81).jpg,1,Low
ant_sales-11580_png_jpg.rf.f64b09fd14e67b556e202cb8efa5a664.jpg,5,Low
aguanambi-5425_png_jpg.rf.14d5886ee52334426d7f89d58c2de516.jpg,17,High
38 (5).jpg,0,Low
35 (5).jpg,0,Low
screenshot_8496_jpg.rf.1ce57a07fd67e9bc7e884d184f9b55d9.jpg,1,Low
ant_sales-11410_png_jpg.rf.9b840a5494e2a57a135b6eaf17df1b87.jpg,8,Moderate
39 (7).jpg,0,Low
35 (123).jpg,0,Low
aguanambi-4120_png_jpg.rf.d4fd0b97f992f9de887c70a97dad5d8f.jpg,21,High
35 (45).jpg,0,Low
35 (90).jpg,5,Low
image78_png_jpg.rf.f2fb0b7e3afba581e4c44b8a38708b29.jpg,6,Low
40 (16).jpg,0,Low
36 (14).jpg,0,Low
aguanambi-1540_png_jpg.rf.b8ea6dd9130d82a3b6163bc3aaa823d3.jpg,13,Moderate
35 (99).jpg,0,Low
image64_png_jpg.rf.d6a51ccd625b5b83f02af040108aa0bb.jpg,0,Low
duque_de_caxias-2325_png_jpg.rf.55c9fd8d13614e9acc273d62fca6a991.jpg,10,Moderate
aguanambi-4255_png_jpg.rf.1aaeafcaa45d001401fd35bb2c7788ea.jpg,22,High
duque_de_caxias-1910_png_jpg.rf.13b8cbe1338d78ba5b13767a834c441c.jpg,13,Moderate
